,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
549049,359964,2019-09-10,2020-08-01,37.5746,35.5365,35.221,35.766,Monthly,OTC Global Holdings,9
549050,212581,2019-09-10,2020-09-01,40.5788,38.0567,38.8365,38.6152,Monthly,OTC Global Holdings,9
549051,359965,2019-09-10,2020-09-01,21.7555,19.817,20.6831,20.5464,Monthly,OTC Global Holdings,9
549052,212582,2019-09-10,2020-10-01,28.0596,23.0782,25.397,25.0463,Monthly,OTC Global Holdings,9
549053,359966,2019-09-10,2020-10-01,19.0293,14.894,17.1288,16.9716,Monthly,OTC Global Holdings,9
549054,212583,2019-09-10,2020-11-01,24.4448,19.4542,21.8709,21.4407,Monthly,OTC Global Holdings,9
549055,359967,2019-09-10,2020-11-01,18.3649,14.1631,16.4362,16.2391,Monthly,OTC Global Holdings,9
549056,212584,2019-09-10,2020-12-01,24.9126,19.9086,22.3072,21.8967,Monthly,OTC Global Holdings,9
549057,359968,2019-09-10,2020-12-01,20.1768,16.3014,18.486,18.329,Monthly,OTC Global Holdings,9
549058,212585,2019-09-10,2021-01-01,30.2443,28.4853,28.6357,29.6652,Monthly,OTC Global Holdings,9
549059,359969,2019-09-10,2021-01-01,22.3152,19.3538,20.3802,20.8636,Monthly,OTC Global Holdings,9
549060,212586,2019-09-10,2021-02-01,30.0511,28.2944,28.4347,29.4727,Monthly,OTC Global Holdings,9
549061,359970,2019-09-10,2021-02-01,21.674,18.717,19.7719,20.2246,Monthly,OTC Global Holdings,9
549062,212587,2019-09-10,2021-03-01,28.106,21.8828,25.4488,25.2385,Monthly,OTC Global Holdings,9
549063,359971,2019-09-10,2021-03-01,20.686,14.1952,18.0356,17.6394,Monthly,OTC Global Holdings,9
549064,212588,2019-09-10,2021-04-01,25.9666,19.7102,23.3825,23.0818,Monthly,OTC Global Holdings,9
549065,359972,2019-09-10,2021-04-01,19.3223,12.8402,16.7076,16.2705,Monthly,OTC Global Holdings,9
549066,212589,2019-09-10,2021-05-01,29.5184,23.3029,26.4764,26.3856,Monthly,OTC Global Holdings,9
549067,359973,2019-09-10,2021-05-01,19.9616,14.2468,17.6155,17.2084,Monthly,OTC Global Holdings,9
549068,212590,2019-09-10,2021-06-01,39.9667,35.8441,37.2159,37.4152,Monthly,OTC Global Holdings,9
